ID,时间戳,事件类型,参数1,参数2,参数3,参数4,系统状态,系统总状态位,单体总故障,pack总故障,簇总故障,总电压,预充电压,总电流,簇显示SOC,簇SOH,簇SOE,充电最大允许功率,放电最大允许功率,充电效率,单次充电电量,单次放电电量,累计充电电量,累计放电电量,簇真实SOC,充电SOP,放电SOP,单次充电容量,单次放电容量,累计充电容量,累计放电容量,电压越限次数,温度越限次数,故障保护次数,绝缘电阻+,绝缘电阻-,最高单体电压数据,最高单体电压编号,最低单体电压数据,最低单体电压编号,单体平均电压,最高单体温度数据,最高单体温度编号,最低单体温度数据,最低单体温度编号,单体平均温度,最高单体soc数据,最高单体soc编号,最低单体soc数据,最低单体soc编号,单体平均SOC,最高电池包电压数据,最高电池包电压编号,最低电池包电压数据,最低电池包电压编号,包平均电压,最高动力接插件温度数据,最高动力接插件温度编号,最低动力接插件温度数据,最低动力接插件温度编号,动力接插件平均温度,接触器状态,系统DI输入状态,系统高边驱动状态,配置1,配置2,特殊功能使能位配置,本机IP,本机MAC地址,事件记录版本号,BOOT版本号,软件版本号,硬件版本号,SOX算法版本号,BCU默认参数版本号,CRC16,CRC校验结果
"1662","2000-1-26-19:00:36","故障触发-故障汇总","故障类型:AFE通讯故障","故障动作:复归","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","547","721","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","4","94.0V","1","94.0V","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","45965","通过"
"1663","2000-1-26-19:01:56","BMU升级控制","/","/","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","410","905","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","1","94.0V","2","94.0V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","3165","通过"
"1664","2000-1-26-19:02:08","绝缘正对地故障","绝缘值:2200","故障等级:故障恢复","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","2200","541","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","1","94.0V","2","94.0V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","28612","通过"
"1665","2000-1-26-19:02:08","故障触发-故障汇总","故障类型:绝缘电阻正对地严重故障","故障动作:复归","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","2200","541","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","1","94.0V","2","94.0V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","21008","通过"
"1666","2000-1-26-19:02:17","绝缘正对地故障","绝缘值:253","故障等级:故障产生","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","253","553","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","1","94.0V","2","94.0V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","25045","通过"
"1667","2000-1-26-19:02:17","故障触发-故障汇总","故障类型:绝缘电阻正对地严重故障","故障动作:触发","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","253","553","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","1","94.0V","2","94.0V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","33896","通过"
"1668","2000-1-26-19:02:45","AFE失联","BMU位置:1","失联AFE:AFE1;AFE2;AFE3;AFE4","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","227","319","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","51976","通过"
"1669","2000-1-26-19:02:45","AFE失联","BMU位置:2","失联AFE:AFE1;AFE2;AFE3;AFE4","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","227","319","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","2062","通过"
"1670","2000-1-26-19:02:45","AFE失联","BMU位置:3","失联AFE:AFE1;AFE2;AFE3;AFE4","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","227","319","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","18700","通过"
"1671","2000-1-26-19:02:45","AFE失联","BMU位置:4","失联AFE:AFE1;AFE2;AFE3;AFE4","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","227","319","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","52737","通过"
"1672","2000-1-26-19:02:45","AFE失联","BMU位置:5","失联AFE:AFE1;AFE2;AFE3;AFE4","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","227","319","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","36611","通过"
"1673","2000-1-26-19:02:45","故障触发-故障汇总","故障类型:AFE通讯故障","故障动作:触发","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","227","319","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","51644","通过"
"1674","2000-1-26-19:02:51","AFE失联","BMU位置:1","失联AFE:无(65535)","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","380","632","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","5","94.0V","1","94.0V","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","52399","通过"
"1675","2000-1-26-19:02:51","AFE失联","BMU位置:2","失联AFE:无(65535)","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","380","632","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","5","94.0V","1","94.0V","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","4009","通过"
"1676","2000-1-26-19:02:51","AFE失联","BMU位置:3","失联AFE:无(65535)","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","380","632","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","5","94.0V","1","94.0V","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","20139","通过"
"1677","2000-1-26-19:02:51","AFE失联","BMU位置:4","失联AFE:无(65535)","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;非运维模式;内测模式;初始化完成","单体电压欠压-严重","无故障","簇欠压-严重,绝缘电阻正对地过低-严重,绝缘电阻负对地过低-严重,无故障","0.0V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","0.00kWh","0.00kWh","0kWh","0kWh","125.0%","0.0%","0.0%","0.00Ah","0.00Ah","0Ah","0Ah","0","0","0","380","632","0.000V","1","0.000V","1","0.000V","无效值(32766)","0","无效值(32766)","0","无效值(32766)","无效值(32767)","0","无效值(32767)","0","无效值(32767)","94.1V","5","94.0V","1","94.0V","39.0℃","4","38.8℃","2","38.9℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:1; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:1; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:V/T模式;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.208","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","51622","通过"
